client_identifier,total_applications,cibli_cabine_applications
Abalone Rezé,25,4
BZB Atlantis,20,9
Burger King,5,1
CRIT INTERIM - Direction Régionale CRIT BPDL,2,0
CRIT INTERIM - Rezé,4,0
CRIT INTERIM - Saint-Herblain,6,0
CRIT INTERIM Aéronautique,15,0
CRIT INTERIM Région Ouest,26,1
Calzedonia - Centre commercial Atlantis,25,3
Cash&Repair Atlantis,15,1
Celio,26,14
Chantelle Atlantis,24,10
Courir Atlantis,91,32
DECATHLON Nantes Atlantis,47,20
Du bruit dans la cuisine,27,5
E.LECLERC ATLANTIS,1278,554
E.LECLERC SAINT GREGOIRE,110,3
Etam Lingerie,35,2
Evoe Group ,105,9
Flying Tiger Atlantis,13,8
Franck Provost Atlantis,4,2
Fuxia,1,0
Fuxia Atlantis,32,10
GEODIS D&E BRETAGNE,1,0
GEOX Atlantis,31,10
Histoire d'Or,20,7
LONCHAMP,153,4
La Boutique du Coiffeur Atlantis,9,3
MAISON JAMET,147,34
Morgan Atlantis,58,23
Okaïdi Atlantis,38,15
OptiMarché,1,0
Optimarché ,9,0
Pimkie Atlantis,13,9
Promod,32,10
RAS Intérim - Nantes,132,35
Ramen Ya,46,3
Rituals Atlantis,38,8
Réseau Chauffalia,11,3
Saint Algue,1,1
Smart Profil,877,65
Starbucks Atlantis,70,13
Yves Rocher,17,1
Zainab Limana,47,0
